user_id,question_id,answer
268403594,Страна,Узбекистан
268403594,Институт,УГИ
268403594,Направление,Международные отношения
268403594,Уровень,аспирант
268403594,Возраст,54
268403594,Какой у вас уровень владения русским языком?,Свободно
268403594,На каком языке чаще всего проводятся проектные занятия?,Только на русском
268403594,Чувствуете ли вы себя комфортно при общении в мультикультурной проектной группе?,Иногда
268403594,С какими трудностями вы чаще всего сталкиваетесь?,Разные стили работы
268403594,Получаете ли вы чёткие инструкции и критерии оценки для проектов?,"Да, всегда"
268403594,Есть ли возможность получить помощь при работе над проектом?,"Да, всегда"
268403594,Как вы оцениваете уровень межкультурного взаимодействия?,Умеренный
268403594,Хотели бы вы участвовать в проектах с международными вузами?,Возможно
268403594,Какой формат проектного обучения наиболее удобен?,Групповой
268403594,Какие меры поддержки наиболее полезны?,Наставник
268403594,Какие технологии искусственного интеллекта вы используете для поддержки своей проектной работы?,Презентации с поддержкой технологий искусственного интеллекта
268403594,Могут ли технологии искусственного интеллекта помочь вам преодолеть языковые и культурные барьеры в проектном обучении?,"Да, значительно помогают"
281528833,Страна,Россия
281528833,Институт,УГИ
281528833,Направление,педогогия
281528833,Уровень,бакалавр
281528833,Возраст,24
281528833,Какой у вас уровень владения русским языком?,Базовый
281528833,На каком языке чаще всего проводятся проектные занятия?,Только на русском
281528833,Чувствуете ли вы себя комфортно при общении в мультикультурной проектной группе?,Иногда
281528833,С какими трудностями вы чаще всего сталкиваетесь?,Языковой барьер; Непонимание задания
281528833,Получаете ли вы чёткие инструкции и критерии оценки для проектов?,Иногда
281528833,Есть ли возможность получить помощь при работе над проектом?,"Да, всегда"
281528833,Как вы оцениваете уровень межкультурного взаимодействия?,Умеренный
281528833,Хотели бы вы участвовать в проектах с международными вузами?,Да
281528833,Какой формат проектного обучения наиболее удобен?,Групповой
281528833,Какие меры поддержки наиболее полезны?,Культурные брифинги
281528833,Какие технологии искусственного интеллекта вы используете для поддержки своей проектной работы?,Переводчики
281528833,Могут ли технологии искусственного интеллекта помочь вам преодолеть языковые и культурные барьеры в проектном обучении?,"Да, значительно помогают"
365833715,Страна,Россия
365833715,Институт,ИНМТ
365833715,Направление,Материаловедение
365833715,Уровень,аспирант
365833715,Возраст,29
365833715,Какой у вас уровень владения русским языком?,Свободно
365833715,На каком языке чаще всего проводятся проектные занятия?,Только на русском
365833715,Чувствуете ли вы себя комфортно при общении в мультикультурной проектной группе?,Иногда
365833715,С какими трудностями вы чаще всего сталкиваетесь?,Сложности с ролями
365833715,Получаете ли вы чёткие инструкции и критерии оценки для проектов?,Иногда
365833715,Есть ли возможность получить помощь при работе над проектом?,"Да, всегда"
365833715,Как вы оцениваете уровень межкультурного взаимодействия?,Очень высокий
365833715,Хотели бы вы участвовать в проектах с международными вузами?,Да
365833715,Какой формат проектного обучения наиболее удобен?,Групповой
365833715,Какие меры поддержки наиболее полезны?,Наставник
365833715,Какие технологии искусственного интеллекта вы используете для поддержки своей проектной работы?,Переводчики; Ассистенты для текстов
365833715,Могут ли технологии искусственного интеллекта помочь вам преодолеть языковые и культурные барьеры в проектном обучении?,"Да, значительно помогают"
384973541,Страна,Россия
384973541,Институт,ИНЭУ
384973541,Направление,Менеджмент
415840750,Страна,Россия
415840750,Институт,ИЕНиМ
415840750,Направление,"Химия твердого тела, аспирантура"
415840750,Уровень,аспирант
415840750,Возраст,25
415840750,Какой у вас уровень владения русским языком?,Свободно
415840750,На каком языке чаще всего проводятся проектные занятия?,Только на русском
415840750,Чувствуете ли вы себя комфортно при общении в мультикультурной проектной группе?,Иногда
415840750,С какими трудностями вы чаще всего сталкиваетесь?,Языковой барьер
415840750,Получаете ли вы чёткие инструкции и критерии оценки для проектов?,"Да, всегда"
415840750,Есть ли возможность получить помощь при работе над проектом?,"Да, всегда"
